"Location","Species","Pres","Freq","Freq1","SDFrq1","Rank","Rank1"
"TL92","Species 1",0,0.2064,0.7401,0.1419,1,0.068
"TL92","Species 18",0,0.2064,0.7401,0.1419,2,0.135
"TL92","Species 19",0,0.2064,0.7401,0.1419,3,0.203
"TL92","Species 2",0,0.2064,0.7401,0.1419,4,0.27
"TL92","Species 20",0,0.2064,0.7401,0.1419,5,0.338
"TL92","Species 3",0,0.2064,0.7401,0.1419,6,0.405
"TL92","Species 4",0,0.2064,0.7401,0.1419,7,0.473
"TL92","Species 5",0,0.2064,0.7401,0.1419,8,0.54
"TL92","Species 6",0,0.2064,0.7401,0.1419,9,0.608
"TL92","Species 7",0,0.2064,0.7401,0.1419,10,0.675
"TL92","Species 8",0,0.2064,0.7401,0.1419,11,0.743
"TL92","Species 10",0,0.2064,0.7401,0.1419,12,0.811
"TL92","Species 9",0,0.2064,0.7401,0.1419,13,0.878
"TL92","Species 11",0,0.2064,0.7401,0.1419,14,0.946
"TL92","Species 12",0,0.2064,0.7401,0.1419,15,1.013
"TL92","Species 13",0,0.2064,0.7401,0.1419,16,1.081
"TL92","Species 14",0,0.2064,0.7401,0.1419,17,1.148
"TL92","Species 15",0,0.2064,0.7401,0.1419,18,1.216
"TL92","Species 16",0,0.2064,0.7401,0.1419,19,1.283
"TL92","Species 17",0,0.2064,0.7401,0.1419,20,1.351
"TL93","Species 1",0,0.0289,0.7399,0.4564,1,0.068
"TL93","Species 18",0,0.0289,0.7399,0.4564,2,0.135
"TL93","Species 19",0,0.0289,0.7399,0.4564,3,0.203
"TL93","Species 2",0,0.0289,0.7399,0.4564,4,0.27
"TL93","Species 20",0,0.0289,0.7399,0.4564,5,0.338
"TL93","Species 3",0,0.0289,0.7399,0.4564,6,0.406
"TL93","Species 4",0,0.0289,0.7399,0.4564,7,0.473
"TL93","Species 5",0,0.0289,0.7399,0.4564,8,0.541
"TL93","Species 6",0,0.0289,0.7399,0.4564,9,0.608
"TL93","Species 7",0,0.0289,0.7399,0.4564,10,0.676
"TL93","Species 8",0,0.0289,0.7399,0.4564,11,0.743
"TL93","Species 10",0,0.0289,0.7399,0.4564,12,0.811
"TL93","Species 9",0,0.0289,0.7399,0.4564,13,0.879
"TL93","Species 11",0,0.0289,0.7399,0.4564,14,0.946
"TL93","Species 12",0,0.0289,0.7399,0.4564,15,1.014
"TL93","Species 13",0,0.0289,0.7399,0.4564,16,1.081
"TL93","Species 14",0,0.0289,0.7399,0.4564,17,1.149
"TL93","Species 15",0,0.0289,0.7399,0.4564,18,1.217
"TL93","Species 16",0,0.0289,0.7399,0.4564,19,1.284
"TL93","Species 17",0,0.0289,0.7399,0.4564,20,1.352
"TL96","Species 1",0,0.0012,0.7401,84.3167,1,0.068
"TL96","Species 18",0,0.0012,0.7401,84.3167,2,0.135
"TL96","Species 19",0,0.0012,0.7401,84.3167,3,0.203
"TL96","Species 2",0,0.0012,0.7401,84.3167,4,0.27
"TL96","Species 20",0,0.0012,0.7401,84.3167,5,0.338
"TL96","Species 3",0,0.0012,0.7401,84.3167,6,0.405
"TL96","Species 4",0,0.0012,0.7401,84.3167,7,0.473
"TL96","Species 5",0,0.0012,0.7401,84.3167,8,0.54
"TL96","Species 6",0,0.0012,0.7401,84.3167,9,0.608
"TL96","Species 7",0,0.0012,0.7401,84.3167,10,0.675
"TL96","Species 8",0,0.0012,0.7401,84.3167,11,0.743
"TL96","Species 10",0,0.0012,0.7401,84.3167,12,0.811
"TL96","Species 9",0,0.0012,0.7401,84.3167,13,0.878
"TL96","Species 11",0,0.0012,0.7401,84.3167,14,0.946
"TL96","Species 12",0,0.0012,0.7401,84.3167,15,1.013
"TL96","Species 13",0,0.0012,0.7401,84.3167,16,1.081
"TL96","Species 14",0,0.0012,0.7401,84.3167,17,1.148
"TL96","Species 15",0,0.0012,0.7401,84.3167,18,1.216
"TL96","Species 16",0,0.0012,0.7401,84.3167,19,1.283
"TL96","Species 17",0,0.0012,0.7401,84.3167,20,1.351
"TM00","Species 1",0,0.4187,0.7401,0.0892,1,0.068
"TM00","Species 18",0,0.4187,0.7401,0.0892,2,0.135
"TM00","Species 19",0,0.4187,0.7401,0.0892,3,0.203
"TM00","Species 2",0,0.4187,0.7401,0.0892,4,0.27
"TM00","Species 20",0,0.4187,0.7401,0.0892,5,0.338
"TM00","Species 3",0,0.4187,0.7401,0.0892,6,0.405
"TM00","Species 4",0,0.4187,0.7401,0.0892,7,0.473
"TM00","Species 5",0,0.4187,0.7401,0.0892,8,0.54
"TM00","Species 6",0,0.4187,0.7401,0.0892,9,0.608
"TM00","Species 7",0,0.4187,0.7401,0.0892,10,0.675
"TM00","Species 8",0,0.4187,0.7401,0.0892,11,0.743
"TM00","Species 10",0,0.4187,0.7401,0.0892,12,0.811
"TM00","Species 9",0,0.4187,0.7401,0.0892,13,0.878
"TM00","Species 11",0,0.4187,0.7401,0.0892,14,0.946
"TM00","Species 12",0,0.4187,0.7401,0.0892,15,1.013
"TM00","Species 13",0,0.4187,0.7401,0.0892,16,1.081
"TM00","Species 14",0,0.4187,0.7401,0.0892,17,1.148
"TM00","Species 15",0,0.4187,0.7401,0.0892,18,1.216
"TM00","Species 16",0,0.4187,0.7401,0.0892,19,1.283
"TM00","Species 17",0,0.4187,0.7401,0.0892,20,1.351
"TM01","Species 1",0,0.3397,0.7401,0.1008,1,0.068
"TM01","Species 18",0,0.3397,0.7401,0.1008,2,0.135
"TM01","Species 19",0,0.3397,0.7401,0.1008,3,0.203
"TM01","Species 2",0,0.3397,0.7401,0.1008,4,0.27
"TM01","Species 20",0,0.3397,0.7401,0.1008,5,0.338
"TM01","Species 3",0,0.3397,0.7401,0.1008,6,0.405
"TM01","Species 4",0,0.3397,0.7401,0.1008,7,0.473
"TM01","Species 5",0,0.3397,0.7401,0.1008,8,0.54
"TM01","Species 6",0,0.3397,0.7401,0.1008,9,0.608
"TM01","Species 7",0,0.3397,0.7401,0.1008,10,0.675
"TM01","Species 8",0,0.3397,0.7401,0.1008,11,0.743
"TM01","Species 10",0,0.3397,0.7401,0.1008,12,0.811
"TM01","Species 9",0,0.3397,0.7401,0.1008,13,0.878
"TM01","Species 11",0,0.3397,0.7401,0.1008,14,0.946
"TM01","Species 12",0,0.3397,0.7401,0.1008,15,1.013
"TM01","Species 13",0,0.3397,0.7401,0.1008,16,1.081
"TM01","Species 14",0,0.3397,0.7401,0.1008,17,1.148
"TM01","Species 15",0,0.3397,0.7401,0.1008,18,1.216
"TM01","Species 16",0,0.3397,0.7401,0.1008,19,1.283
"TM01","Species 17",0,0.3397,0.7401,0.1008,20,1.351
"TM02","Species 1",0,0.1585,0.7401,0.1656,1,0.068
"TM02","Species 18",0,0.1585,0.7401,0.1656,2,0.135
"TM02","Species 19",0,0.1585,0.7401,0.1656,3,0.203
"TM02","Species 2",0,0.1585,0.7401,0.1656,4,0.27
"TM02","Species 20",0,0.1585,0.7401,0.1656,5,0.338
"TM02","Species 3",0,0.1585,0.7401,0.1656,6,0.405
"TM02","Species 4",0,0.1585,0.7401,0.1656,7,0.473
"TM02","Species 5",0,0.1585,0.7401,0.1656,8,0.54
"TM02","Species 6",0,0.1585,0.7401,0.1656,9,0.608
"TM02","Species 7",0,0.1585,0.7401,0.1656,10,0.675
"TM02","Species 8",0,0.1585,0.7401,0.1656,11,0.743
"TM02","Species 10",0,0.1585,0.7401,0.1656,12,0.811
"TM02","Species 9",0,0.1585,0.7401,0.1656,13,0.878
"TM02","Species 11",0,0.1585,0.7401,0.1656,14,0.946
"TM02","Species 12",0,0.1585,0.7401,0.1656,15,1.013
"TM02","Species 13",0,0.1585,0.7401,0.1656,16,1.081
"TM02","Species 14",0,0.1585,0.7401,0.1656,17,1.148
"TM02","Species 15",0,0.1585,0.7401,0.1656,18,1.216
"TM02","Species 16",0,0.1585,0.7401,0.1656,19,1.283
"TM02","Species 17",0,0.1585,0.7401,0.1656,20,1.351
"TM03","Species 1",0,0.1212,0.7399,0.1885,1,0.068
"TM03","Species 18",0,0.1212,0.7399,0.1885,2,0.135
"TM03","Species 19",0,0.1212,0.7399,0.1885,3,0.203
"TM03","Species 2",0,0.1212,0.7399,0.1885,4,0.27
"TM03","Species 20",0,0.1212,0.7399,0.1885,5,0.338
"TM03","Species 3",0,0.1212,0.7399,0.1885,6,0.405
"TM03","Species 4",0,0.1212,0.7399,0.1885,7,0.473
"TM03","Species 5",0,0.1212,0.7399,0.1885,8,0.541
"TM03","Species 6",0,0.1212,0.7399,0.1885,9,0.608
"TM03","Species 7",0,0.1212,0.7399,0.1885,10,0.676
"TM03","Species 8",0,0.1212,0.7399,0.1885,11,0.743
"TM03","Species 10",0,0.1212,0.7399,0.1885,12,0.811
"TM03","Species 9",0,0.1212,0.7399,0.1885,13,0.879
"TM03","Species 11",0,0.1212,0.7399,0.1885,14,0.946
"TM03","Species 12",0,0.1212,0.7399,0.1885,15,1.014
"TM03","Species 13",0,0.1212,0.7399,0.1885,16,1.081
"TM03","Species 14",0,0.1212,0.7399,0.1885,17,1.149
"TM03","Species 15",0,0.1212,0.7399,0.1885,18,1.216
"TM03","Species 16",0,0.1212,0.7399,0.1885,19,1.284
"TM03","Species 17",0,0.1212,0.7399,0.1885,20,1.352
"TM04","Species 1",0,5e-04,0.7399,NA,1,0.068
"TM04","Species 18",0,5e-04,0.7399,NA,2,0.135
"TM04","Species 19",0,5e-04,0.7399,NA,3,0.203
"TM04","Species 2",0,5e-04,0.7399,NA,4,0.27
"TM04","Species 20",0,5e-04,0.7399,NA,5,0.338
"TM04","Species 3",0,5e-04,0.7399,NA,6,0.406
"TM04","Species 4",0,5e-04,0.7399,NA,7,0.473
"TM04","Species 5",0,5e-04,0.7399,NA,8,0.541
"TM04","Species 6",0,5e-04,0.7399,NA,9,0.608
"TM04","Species 7",0,5e-04,0.7399,NA,10,0.676
"TM04","Species 8",0,5e-04,0.7399,NA,11,0.743
"TM04","Species 10",0,5e-04,0.7399,NA,12,0.811
"TM04","Species 9",0,5e-04,0.7399,NA,13,0.879
"TM04","Species 11",0,5e-04,0.7399,NA,14,0.946
"TM04","Species 12",0,5e-04,0.7399,NA,15,1.014
"TM04","Species 13",0,5e-04,0.7399,NA,16,1.081
"TM04","Species 14",0,5e-04,0.7399,NA,17,1.149
"TM04","Species 15",0,5e-04,0.7399,NA,18,1.217
"TM04","Species 16",0,5e-04,0.7399,NA,19,1.284
"TM04","Species 17",0,5e-04,0.7399,NA,20,1.352
"TM05","Species 1",0,4e-04,0.7399,NA,1,0.068
"TM05","Species 18",0,4e-04,0.7399,NA,2,0.135
"TM05","Species 19",0,4e-04,0.7399,NA,3,0.203
"TM05","Species 2",0,4e-04,0.7399,NA,4,0.27
"TM05","Species 20",0,4e-04,0.7399,NA,5,0.338
"TM05","Species 3",0,4e-04,0.7399,NA,6,0.406
"TM05","Species 4",0,4e-04,0.7399,NA,7,0.473
"TM05","Species 5",0,4e-04,0.7399,NA,8,0.541
"TM05","Species 6",0,4e-04,0.7399,NA,9,0.608
"TM05","Species 7",0,4e-04,0.7399,NA,10,0.676
"TM05","Species 8",0,4e-04,0.7399,NA,11,0.743
"TM05","Species 10",0,4e-04,0.7399,NA,12,0.811
"TM05","Species 9",0,4e-04,0.7399,NA,13,0.879
"TM05","Species 11",0,4e-04,0.7399,NA,14,0.946
"TM05","Species 12",0,4e-04,0.7399,NA,15,1.014
"TM05","Species 13",0,4e-04,0.7399,NA,16,1.081
"TM05","Species 14",0,4e-04,0.7399,NA,17,1.149
"TM05","Species 15",0,4e-04,0.7399,NA,18,1.217
"TM05","Species 16",0,4e-04,0.7399,NA,19,1.284
"TM05","Species 17",0,4e-04,0.7399,NA,20,1.352
"TM10","Species 1",0,0.6122,0.7401,0.0761,1,0.068
"TM10","Species 18",0,0.6122,0.7401,0.0761,2,0.135
"TM10","Species 19",0,0.6122,0.7401,0.0761,3,0.203
"TM10","Species 2",0,0.6122,0.7401,0.0761,4,0.27
"TM10","Species 20",0,0.6122,0.7401,0.0761,5,0.338
"TM10","Species 3",0,0.6122,0.7401,0.0761,6,0.405
"TM10","Species 4",0,0.6122,0.7401,0.0761,7,0.473
"TM10","Species 5",0,0.6122,0.7401,0.0761,8,0.54
"TM10","Species 6",0,0.6122,0.7401,0.0761,9,0.608
"TM10","Species 7",0,0.6122,0.7401,0.0761,10,0.675
"TM10","Species 8",0,0.6122,0.7401,0.0761,11,0.743
"TM10","Species 10",0,0.6122,0.7401,0.0761,12,0.811
"TM10","Species 9",0,0.6122,0.7401,0.0761,13,0.878
"TM10","Species 11",0,0.6122,0.7401,0.0761,14,0.946
"TM10","Species 12",0,0.6122,0.7401,0.0761,15,1.013
"TM10","Species 13",0,0.6122,0.7401,0.0761,16,1.081
"TM10","Species 14",0,0.6122,0.7401,0.0761,17,1.148
"TM10","Species 15",0,0.6122,0.7401,0.0761,18,1.216
"TM10","Species 16",0,0.6122,0.7401,0.0761,19,1.283
"TM10","Species 17",0,0.6122,0.7401,0.0761,20,1.351
"TM11","Species 1",0,0.1929,0.7401,0.1372,1,0.068
"TM11","Species 18",0,0.1929,0.7401,0.1372,2,0.135
"TM11","Species 19",0,0.1929,0.7401,0.1372,3,0.203
"TM11","Species 2",0,0.1929,0.7401,0.1372,4,0.27
"TM11","Species 20",0,0.1929,0.7401,0.1372,5,0.338
"TM11","Species 3",0,0.1929,0.7401,0.1372,6,0.405
"TM11","Species 4",0,0.1929,0.7401,0.1372,7,0.473
"TM11","Species 5",0,0.1929,0.7401,0.1372,8,0.54
"TM11","Species 6",0,0.1929,0.7401,0.1372,9,0.608
"TM11","Species 7",0,0.1929,0.7401,0.1372,10,0.675
"TM11","Species 8",0,0.1929,0.7401,0.1372,11,0.743
"TM11","Species 10",0,0.1929,0.7401,0.1372,12,0.811
"TM11","Species 9",0,0.1929,0.7401,0.1372,13,0.878
"TM11","Species 11",0,0.1929,0.7401,0.1372,14,0.946
"TM11","Species 12",0,0.1929,0.7401,0.1372,15,1.013
"TM11","Species 13",0,0.1929,0.7401,0.1372,16,1.081
"TM11","Species 14",0,0.1929,0.7401,0.1372,17,1.148
"TM11","Species 15",0,0.1929,0.7401,0.1372,18,1.216
"TM11","Species 16",0,0.1929,0.7401,0.1372,19,1.283
"TM11","Species 17",0,0.1929,0.7401,0.1372,20,1.351
"TM12","Species 1",0,0.0239,0.7399,0.5641,1,0.068
"TM12","Species 18",0,0.0239,0.7399,0.5641,2,0.135
"TM12","Species 19",0,0.0239,0.7399,0.5641,3,0.203
"TM12","Species 2",0,0.0239,0.7399,0.5641,4,0.27
"TM12","Species 20",0,0.0239,0.7399,0.5641,5,0.338
"TM12","Species 3",0,0.0239,0.7399,0.5641,6,0.405
"TM12","Species 4",0,0.0239,0.7399,0.5641,7,0.473
"TM12","Species 5",0,0.0239,0.7399,0.5641,8,0.541
"TM12","Species 6",0,0.0239,0.7399,0.5641,9,0.608
"TM12","Species 7",0,0.0239,0.7399,0.5641,10,0.676
"TM12","Species 8",0,0.0239,0.7399,0.5641,11,0.743
"TM12","Species 10",0,0.0239,0.7399,0.5641,12,0.811
"TM12","Species 9",0,0.0239,0.7399,0.5641,13,0.879
"TM12","Species 11",0,0.0239,0.7399,0.5641,14,0.946
"TM12","Species 12",0,0.0239,0.7399,0.5641,15,1.014
"TM12","Species 13",0,0.0239,0.7399,0.5641,16,1.081
"TM12","Species 14",0,0.0239,0.7399,0.5641,17,1.149
"TM12","Species 15",0,0.0239,0.7399,0.5641,18,1.216
"TM12","Species 16",0,0.0239,0.7399,0.5641,19,1.284
"TM12","Species 17",0,0.0239,0.7399,0.5641,20,1.352
"TM13","Species 1",0,0.0386,0.7399,0.3683,1,0.068
"TM13","Species 18",0,0.0386,0.7399,0.3683,2,0.135
"TM13","Species 19",0,0.0386,0.7399,0.3683,3,0.203
"TM13","Species 2",0,0.0386,0.7399,0.3683,4,0.27
"TM13","Species 20",0,0.0386,0.7399,0.3683,5,0.338
"TM13","Species 3",0,0.0386,0.7399,0.3683,6,0.406
"TM13","Species 4",0,0.0386,0.7399,0.3683,7,0.473
"TM13","Species 5",0,0.0386,0.7399,0.3683,8,0.541
"TM13","Species 6",0,0.0386,0.7399,0.3683,9,0.608
"TM13","Species 7",0,0.0386,0.7399,0.3683,10,0.676
"TM13","Species 8",0,0.0386,0.7399,0.3683,11,0.743
"TM13","Species 10",0,0.0386,0.7399,0.3683,12,0.811
"TM13","Species 9",0,0.0386,0.7399,0.3683,13,0.879
"TM13","Species 11",0,0.0386,0.7399,0.3683,14,0.946
"TM13","Species 12",0,0.0386,0.7399,0.3683,15,1.014
"TM13","Species 13",0,0.0386,0.7399,0.3683,16,1.081
"TM13","Species 14",0,0.0386,0.7399,0.3683,17,1.149
"TM13","Species 15",0,0.0386,0.7399,0.3683,18,1.217
"TM13","Species 16",0,0.0386,0.7399,0.3683,19,1.284
"TM13","Species 17",0,0.0386,0.7399,0.3683,20,1.352
"TM14","Species 1",0,0.0931,0.7399,0.2358,1,0.068
"TM14","Species 18",0,0.0931,0.7399,0.2358,2,0.135
"TM14","Species 19",0,0.0931,0.7399,0.2358,3,0.203
"TM14","Species 2",0,0.0931,0.7399,0.2358,4,0.27
"TM14","Species 20",0,0.0931,0.7399,0.2358,5,0.338
"TM14","Species 3",0,0.0931,0.7399,0.2358,6,0.406
"TM14","Species 4",0,0.0931,0.7399,0.2358,7,0.473
"TM14","Species 5",0,0.0931,0.7399,0.2358,8,0.541
"TM14","Species 6",0,0.0931,0.7399,0.2358,9,0.608
"TM14","Species 7",0,0.0931,0.7399,0.2358,10,0.676
"TM14","Species 8",0,0.0931,0.7399,0.2358,11,0.743
"TM14","Species 10",0,0.0931,0.7399,0.2358,12,0.811
"TM14","Species 9",0,0.0931,0.7399,0.2358,13,0.879
"TM14","Species 11",0,0.0931,0.7399,0.2358,14,0.946
"TM14","Species 12",0,0.0931,0.7399,0.2358,15,1.014
"TM14","Species 13",0,0.0931,0.7399,0.2358,16,1.081
"TM14","Species 14",0,0.0931,0.7399,0.2358,17,1.149
"TM14","Species 15",0,0.0931,0.7399,0.2358,18,1.217
"TM14","Species 16",0,0.0931,0.7399,0.2358,19,1.284
"TM14","Species 17",0,0.0931,0.7399,0.2358,20,1.352
"TM15","Species 1",0,2e-04,0.7399,NA,1,0.068
"TM15","Species 18",0,2e-04,0.7399,NA,2,0.135
"TM15","Species 19",0,2e-04,0.7399,NA,3,0.203
"TM15","Species 2",0,2e-04,0.7399,NA,4,0.27
"TM15","Species 20",0,2e-04,0.7399,NA,5,0.338
"TM15","Species 3",0,2e-04,0.7399,NA,6,0.406
"TM15","Species 4",0,2e-04,0.7399,NA,7,0.473
"TM15","Species 5",0,2e-04,0.7399,NA,8,0.541
"TM15","Species 6",0,2e-04,0.7399,NA,9,0.608
"TM15","Species 7",0,2e-04,0.7399,NA,10,0.676
"TM15","Species 8",0,2e-04,0.7399,NA,11,0.743
"TM15","Species 10",0,2e-04,0.7399,NA,12,0.811
"TM15","Species 9",0,2e-04,0.7399,NA,13,0.879
"TM15","Species 11",0,2e-04,0.7399,NA,14,0.946
"TM15","Species 12",0,2e-04,0.7399,NA,15,1.014
"TM15","Species 13",0,2e-04,0.7399,NA,16,1.081
"TM15","Species 14",0,2e-04,0.7399,NA,17,1.149
"TM15","Species 15",0,2e-04,0.7399,NA,18,1.217
"TM15","Species 16",0,2e-04,0.7399,NA,19,1.284
"TM15","Species 17",0,2e-04,0.7399,NA,20,1.352
"TM17","Species 1",0,4e-04,0.7399,NA,1,0.068
"TM17","Species 18",0,4e-04,0.7399,NA,2,0.135
"TM17","Species 19",0,4e-04,0.7399,NA,3,0.203
"TM17","Species 2",0,4e-04,0.7399,NA,4,0.27
"TM17","Species 20",0,4e-04,0.7399,NA,5,0.338
"TM17","Species 3",0,4e-04,0.7399,NA,6,0.405
"TM17","Species 4",0,4e-04,0.7399,NA,7,0.473
"TM17","Species 5",0,4e-04,0.7399,NA,8,0.541
"TM17","Species 6",0,4e-04,0.7399,NA,9,0.608
"TM17","Species 7",0,4e-04,0.7399,NA,10,0.676
"TM17","Species 8",0,4e-04,0.7399,NA,11,0.743
"TM17","Species 10",0,4e-04,0.7399,NA,12,0.811
"TM17","Species 9",0,4e-04,0.7399,NA,13,0.879
"TM17","Species 11",0,4e-04,0.7399,NA,14,0.946
"TM17","Species 12",0,4e-04,0.7399,NA,15,1.014
"TM17","Species 13",0,4e-04,0.7399,NA,16,1.081
"TM17","Species 14",0,4e-04,0.7399,NA,17,1.149
"TM17","Species 15",0,4e-04,0.7399,NA,18,1.216
"TM17","Species 16",0,4e-04,0.7399,NA,19,1.284
"TM17","Species 17",0,4e-04,0.7399,NA,20,1.352
"TM21","Species 1",0,0.1815,0.7401,0.1452,1,0.068
"TM21","Species 18",0,0.1815,0.7401,0.1452,2,0.135
"TM21","Species 19",0,0.1815,0.7401,0.1452,3,0.203
"TM21","Species 2",0,0.1815,0.7401,0.1452,4,0.27
"TM21","Species 20",0,0.1815,0.7401,0.1452,5,0.338
"TM21","Species 3",0,0.1815,0.7401,0.1452,6,0.405
"TM21","Species 4",0,0.1815,0.7401,0.1452,7,0.473
"TM21","Species 5",0,0.1815,0.7401,0.1452,8,0.54
"TM21","Species 6",0,0.1815,0.7401,0.1452,9,0.608
"TM21","Species 7",0,0.1815,0.7401,0.1452,10,0.675
"TM21","Species 8",0,0.1815,0.7401,0.1452,11,0.743
"TM21","Species 10",0,0.1815,0.7401,0.1452,12,0.811
"TM21","Species 9",0,0.1815,0.7401,0.1452,13,0.878
"TM21","Species 11",0,0.1815,0.7401,0.1452,14,0.946
"TM21","Species 12",0,0.1815,0.7401,0.1452,15,1.013
"TM21","Species 13",0,0.1815,0.7401,0.1452,16,1.081
"TM21","Species 14",0,0.1815,0.7401,0.1452,17,1.148
"TM21","Species 15",0,0.1815,0.7401,0.1452,18,1.216
"TM21","Species 16",0,0.1815,0.7401,0.1452,19,1.283
"TM21","Species 17",0,0.1815,0.7401,0.1452,20,1.351
"TM22","Species 1",0,0.2361,0.7401,0.1228,1,0.068
"TM22","Species 18",0,0.2361,0.7401,0.1228,2,0.135
"TM22","Species 19",0,0.2361,0.7401,0.1228,3,0.203
"TM22","Species 2",0,0.2361,0.7401,0.1228,4,0.27
"TM22","Species 20",0,0.2361,0.7401,0.1228,5,0.338
"TM22","Species 3",0,0.2361,0.7401,0.1228,6,0.405
"TM22","Species 4",0,0.2361,0.7401,0.1228,7,0.473
"TM22","Species 5",0,0.2361,0.7401,0.1228,8,0.54
"TM22","Species 6",0,0.2361,0.7401,0.1228,9,0.608
"TM22","Species 7",0,0.2361,0.7401,0.1228,10,0.675
"TM22","Species 8",0,0.2361,0.7401,0.1228,11,0.743
"TM22","Species 10",0,0.2361,0.7401,0.1228,12,0.811
"TM22","Species 9",0,0.2361,0.7401,0.1228,13,0.878
"TM22","Species 11",0,0.2361,0.7401,0.1228,14,0.946
"TM22","Species 12",0,0.2361,0.7401,0.1228,15,1.013
"TM22","Species 13",0,0.2361,0.7401,0.1228,16,1.081
"TM22","Species 14",0,0.2361,0.7401,0.1228,17,1.148
"TM22","Species 15",0,0.2361,0.7401,0.1228,18,1.216
"TM22","Species 16",0,0.2361,0.7401,0.1228,19,1.283
"TM22","Species 17",0,0.2361,0.7401,0.1228,20,1.351
"TM23","Species 1",0,0.1139,0.7399,0.1913,1,0.068
"TM23","Species 18",0,0.1139,0.7399,0.1913,2,0.135
"TM23","Species 19",0,0.1139,0.7399,0.1913,3,0.203
"TM23","Species 2",0,0.1139,0.7399,0.1913,4,0.27
"TM23","Species 20",0,0.1139,0.7399,0.1913,5,0.338
"TM23","Species 3",0,0.1139,0.7399,0.1913,6,0.406
"TM23","Species 4",0,0.1139,0.7399,0.1913,7,0.473
"TM23","Species 5",0,0.1139,0.7399,0.1913,8,0.541
"TM23","Species 6",0,0.1139,0.7399,0.1913,9,0.608
"TM23","Species 7",0,0.1139,0.7399,0.1913,10,0.676
"TM23","Species 8",0,0.1139,0.7399,0.1913,11,0.743
"TM23","Species 10",0,0.1139,0.7399,0.1913,12,0.811
"TM23","Species 9",0,0.1139,0.7399,0.1913,13,0.879
"TM23","Species 11",0,0.1139,0.7399,0.1913,14,0.946
"TM23","Species 12",0,0.1139,0.7399,0.1913,15,1.014
"TM23","Species 13",0,0.1139,0.7399,0.1913,16,1.081
"TM23","Species 14",0,0.1139,0.7399,0.1913,17,1.149
"TM23","Species 15",0,0.1139,0.7399,0.1913,18,1.217
"TM23","Species 16",0,0.1139,0.7399,0.1913,19,1.284
"TM23","Species 17",0,0.1139,0.7399,0.1913,20,1.352
"TM24","Species 1",0,0.056,0.7399,0.3066,1,0.068
"TM24","Species 18",0,0.056,0.7399,0.3066,2,0.135
"TM24","Species 19",0,0.056,0.7399,0.3066,3,0.203
"TM24","Species 2",0,0.056,0.7399,0.3066,4,0.27
"TM24","Species 20",0,0.056,0.7399,0.3066,5,0.338
"TM24","Species 3",0,0.056,0.7399,0.3066,6,0.406
"TM24","Species 4",0,0.056,0.7399,0.3066,7,0.473
"TM24","Species 5",0,0.056,0.7399,0.3066,8,0.541
"TM24","Species 6",0,0.056,0.7399,0.3066,9,0.608
"TM24","Species 7",0,0.056,0.7399,0.3066,10,0.676
"TM24","Species 8",0,0.056,0.7399,0.3066,11,0.743
"TM24","Species 10",0,0.056,0.7399,0.3066,12,0.811
"TM24","Species 9",0,0.056,0.7399,0.3066,13,0.879
"TM24","Species 11",0,0.056,0.7399,0.3066,14,0.946
"TM24","Species 12",0,0.056,0.7399,0.3066,15,1.014
"TM24","Species 13",0,0.056,0.7399,0.3066,16,1.081
"TM24","Species 14",0,0.056,0.7399,0.3066,17,1.149
"TM24","Species 15",0,0.056,0.7399,0.3066,18,1.217
"TM24","Species 16",0,0.056,0.7399,0.3066,19,1.284
"TM24","Species 17",0,0.056,0.7399,0.3066,20,1.352
"TM25","Species 1",0,0.0069,0.7401,1.9134,1,0.068
"TM25","Species 18",0,0.0069,0.7401,1.9134,2,0.135
"TM25","Species 19",0,0.0069,0.7401,1.9134,3,0.203
"TM25","Species 2",0,0.0069,0.7401,1.9134,4,0.27
"TM25","Species 20",0,0.0069,0.7401,1.9134,5,0.338
"TM25","Species 3",0,0.0069,0.7401,1.9134,6,0.405
"TM25","Species 4",0,0.0069,0.7401,1.9134,7,0.473
"TM25","Species 5",0,0.0069,0.7401,1.9134,8,0.54
"TM25","Species 6",0,0.0069,0.7401,1.9134,9,0.608
"TM25","Species 7",0,0.0069,0.7401,1.9134,10,0.675
"TM25","Species 8",0,0.0069,0.7401,1.9134,11,0.743
"TM25","Species 10",0,0.0069,0.7401,1.9134,12,0.811
"TM25","Species 9",0,0.0069,0.7401,1.9134,13,0.878
"TM25","Species 11",0,0.0069,0.7401,1.9134,14,0.946
"TM25","Species 12",0,0.0069,0.7401,1.9134,15,1.013
"TM25","Species 13",0,0.0069,0.7401,1.9134,16,1.081
"TM25","Species 14",0,0.0069,0.7401,1.9134,17,1.148
"TM25","Species 15",0,0.0069,0.7401,1.9134,18,1.216
"TM25","Species 16",0,0.0069,0.7401,1.9134,19,1.283
"TM25","Species 17",0,0.0069,0.7401,1.9134,20,1.351
"TM28","Species 1",0,6e-04,0.7399,NA,1,0.068
"TM28","Species 18",0,6e-04,0.7399,NA,2,0.135
"TM28","Species 19",0,6e-04,0.7399,NA,3,0.203
"TM28","Species 2",0,6e-04,0.7399,NA,4,0.27
"TM28","Species 20",0,6e-04,0.7399,NA,5,0.338
"TM28","Species 3",0,6e-04,0.7399,NA,6,0.406
"TM28","Species 4",0,6e-04,0.7399,NA,7,0.473
"TM28","Species 5",0,6e-04,0.7399,NA,8,0.541
"TM28","Species 6",0,6e-04,0.7399,NA,9,0.608
